S,B,is_validation,oom,latency_s,latency_min_s,latency_p90_s,latency_iters,latency_loop_s,memory_bytes,memory_bytes_warm,memory_base_bytes,energy_j,energy_iters,energy_window_s,mean_power_w,sm_clock_mhz,mem_clock_mhz,gpu_temp_c,flops_profiler,elapsed_s
32,1,0,0,0.00041653774678707123,0.00041278591379523277,0.00042447117157280446,300,0.0004011057648301886,13770752,18789376,4199424,0.06373174118187917,3601,1.4443818591535091,158.89011520156166,1950,9501,50,18450432,2.18
32,2,0,0,0.0004530115984380245,0.00044916197657585144,0.00045886393636465075,300,0.0004575030890281324,18899968,18899968,13779968,0.0767864693474892,3311,1.5147927277721465,167.83814402347676,1950,9501,51,36900864,1.68
32,4,0,0,0.00046236743219196796,0.00045758020132780075,0.00046836137771606446,300,0.0004645563643678343,19121152,19121152,13804544,0.07909309494271231,3244,1.5070208460092545,170.25511005611074,1950,9501,51,73801728,1.68
32,8,0,0,0.0004689933266490698,0.0004644547589123249,0.00047521749511361124,300,0.000473537292882446,19563520,19563520,13853696,0.08832270168862989,3198,1.5143722626380622,186.5168868770716,1950,9501,52,147603456,1.68
32,16,0,0,0.00047581177204847336,0.0004710308276116848,0.00048196022398769853,300,0.00047913502498770955,20448256,20448256,13952000,0.08805329949231015,3152,1.5102335987612605,183.77554321888456,1950,9501,53,295206912,1.68
32,32,0,0,0.0004907455295324326,0.00048533082008361816,0.0004975602496415377,300,0.0004950035460956434,22217728,22217728,14148608,0.10092637434367734,3056,1.5127308368682861,203.89020470608224,1965,9501,54,590413824,1.69
32,64,0,0,0.00047471700236201286,0.0004700329154729843,0.0004812669474631548,300,0.0004779492001054822,18736128,18736128,14541824,0.12726559037836188,3159,1.5098415231332183,266.2743035248823,1950,9501,58,1180827648,1.68
32,95,1,0,0.0005009474698454142,0.0004960442893207073,0.000504913879558444,300,0.000502848000755271,21148672,21148672,14922752,0.15595223781022535,2994,1.5055269142612815,310.1379295055109,1950,9501,62,1752791040,1.68
32,98,1,0,0.0005301367491483688,0.0005253348499536514,0.0005340285133570433,300,0.0005316813440171072,21439488,21439488,14959616,0.15735136090487126,2829,1.5041265222243965,295.9505024494678,1950,9501,62,1808142336,1.69
32,128,0,0,0.0005614589899778366,0.0005566272884607315,0.000564997224137187,300,0.0005657742875975109,23847936,23847936,15328256,0.17719543241843086,2671,1.5111831221729517,313.1910309513514,1935,9501,63,2361655296,1.71
32,167,1,0,0.0006546175573021173,0.0006422381848096848,0.0006585445255041123,300,0.0006590909105069067,26752000,26752000,15807488,0.20883718900470324,2291,1.5099772759713233,316.8564240160536,1905,9501,63,3081222144,1.73
32,256,0,0,0.0008443633560091257,0.0008178530260920525,0.0008469008840620518,300,0.0008465649446300524,33678336,33678336,16901120,0.27092173423718763,1776,1.5034993416629732,320.0247493777102,1860,9501,64,4723310592,1.79
48,1,1,0,0.00040982523933053017,0.0004031178541481495,0.0004156222101300955,300,0.00041181558280002547,13930496,13930496,13783040,0.0668076502739406,3660,1.5072450330480933,162.22710617140947,1950,9501,55,41121792,1.65
48,2,1,0,0.00040687527507543564,0.00040123099461197853,0.0004133744165301323,300,0.00040901970076341864,14105600,14105600,13810688,0.06710363537622933,3686,1.507646617013961,164.05966571043678,1950,9501,55,82243584,1.65
48,4,1,0,0.0004623148124665022,0.00045783910900354385,0.0004730056971311569,300,0.0004643750165700545,19305472,19305472,13865984,0.08383631319469059,3244,1.5064325537532568,180.53579586153995,1950,9501,56,164487168,1.67
48,8,1,0,0.0004680659621953964,0.0004640682600438595,0.00047408812679350376,300,0.0004715753106467807,19932160,19932160,13976576,0.09000967540656137,3204,1.5109272953122854,190.87020328335296,1950,9501,56,328974336,1.67
48,16,1,0,0.0004470625426620245,0.00044306181371212006,0.0004530489444732666,300,0.0004483443682100041,16557056,16557056,14197760,0.10210611028305287,3355,1.5041953553445637,227.74036549339783,1950,9501,59,657948672,1.66
48,32,1,0,0.00045959092676639557,0.00045590661466121674,0.0004659887868911028,300,0.00046798751332434343,19358720,19358720,14640128,0.1392834814613011,3263,1.5270432559773326,297.62221746452724,1950,9501,62,1315897344,1.69
48,64,1,0,0.0005227199289947748,0.0005121729336678982,0.0005267624743282795,300,0.0005262242953116759,24962048,24962048,15524864,0.17987521784818308,2869,1.5097375032491982,341.82233593309354,1890,9501,65,2631794688,1.69
