S,B,is_validation,oom,latency_s,latency_min_s,latency_p90_s,latency_iters,latency_loop_s,memory_bytes,memory_bytes_warm,memory_base_bytes,energy_j,energy_iters,energy_window_s,mean_power_w,sm_clock_mhz,mem_clock_mhz,gpu_temp_c,flops_profiler,elapsed_s
32,1,0,0,0.00041182059794664383,0.00040687015280127525,0.000423653656616807,300,,13770752,18789376,4199424,,,,,,,,,0.26
32,2,0,0,0.00039966683834791183,0.0003955420106649399,0.0004099956713616848,300,,18899968,18899968,13779968,,,,,,,,,0.14
32,4,0,0,0.0004082045052200556,0.0004036286845803261,0.0004223623313009739,300,,19121152,19121152,13804544,,,,,,,,,0.15
32,8,0,0,0.00041566789150238037,0.0004119398072361946,0.0004260706715285778,300,,19563520,19563520,13853696,,,,,,,,,0.14
32,16,0,0,0.00042260391637682915,0.0004187379963696003,0.00043411757797002793,300,,20448256,20448256,13952000,,,,,,,,,0.14
32,32,0,0,0.00043864804320037365,0.00043294765055179596,0.000451740762218833,300,,22217728,22217728,14148608,,,,,,,,,0.14
32,64,0,0,0.00044357054866850376,0.00044095562770962715,0.00044879079796373845,300,,18736128,18736128,14541824,,,,,,,,,0.14
32,95,1,0,0.0004980412777513266,0.00048503465950489044,0.0005037765018641949,300,,21148672,21148672,14922752,,,,,,,,,0.16
32,98,1,0,0.0005270945839583874,0.0005209040828049183,0.0005336782895028591,300,,21439488,21439488,14959616,,,,,,,,,0.17
32,128,0,0,0.0005655805580317974,0.0005542482249438763,0.0005781553220003844,300,,23847936,23847936,15328256,,,,,,,,,0.18
32,167,1,0,0.0006784910801798105,0.000664818100631237,0.0006831783801317215,300,,26752000,26752000,15807488,,,,,,,,,0.22
32,256,0,0,0.0008794346358627081,0.0008460418321192265,0.0008825362194329501,300,,33678336,33678336,16901120,,,,,,,,,0.28
48,1,1,0,0.0003189456183463335,0.000312556978315115,0.0003259120509028435,300,,13930496,13930496,13783040,,,,,,,,,0.11
48,2,1,0,0.000318287406116724,0.00031367596238851547,0.00032515721395611765,300,,14105600,14105600,13810688,,,,,,,,,0.1
48,4,1,0,0.0004043695516884327,0.0004000021144747734,0.00041024042293429374,300,,19305472,19305472,13865984,,,,,,,,,0.13
48,8,1,0,0.000409543514251709,0.0004059476777911186,0.000414831330999732,300,,19932160,19932160,13976576,,,,,,,,,0.13
48,16,1,0,0.00039654411375522614,0.0003941650502383709,0.00039884652942419053,300,,16557056,16557056,14197760,,,,,,,,,0.13
48,32,1,0,0.0004204483702778816,0.00041669607162475586,0.0004253508988767862,300,,19358720,19358720,14640128,,,,,,,,,0.14
48,64,1,0,0.0005331758875399828,0.0005127699114382267,0.0005357110407203436,300,,24962048,24962048,15524864,,,,,,,,,0.17
48,95,1,0,0.0006889395881444216,0.0006590671837329865,0.0006931065581738949,300,,30852096,30852096,16381952,,,,,,,,,0.22
48,98,1,0,0.0007011925335973501,0.0006895903497934341,0.0007035552058368921,300,,31073280,31073280,16464896,,,,,,,,,0.22
48,128,1,0,0.0008098774123936892,0.0007844013161957264,0.0008119609672576189,300,,36168704,36168704,17294336,,,,,,,,,0.26
48,167,1,0,0.0010255847591906786,0.0010210881009697914,0.0010276170447468757,300,,43538432,43538432,18372608,,,,,,,,,0.33
48,256,1,0,0.001401724060997367,0.0013514836318790913,0.001405266486108303,300,,58582016,58582016,20833280,,,,,,,,,0.44
64,1,0,0,0.0004185668658465147,0.00041195284575223923,0.00042669279500842097,300,,32777216,32777216,13804544,,,,,,,,,0.14
64,2,0,0,0.00041081150993704796,0.0004066377878189087,0.00041695176623761653,300,,32924672,32924672,13853696,,,,,,,,,0.13
64,4,0,0,0.00041764648631215096,0.00041369395330548286,0.0004236279521137476,300,,33489920,33489920,13952000,,,,,,,,,0.14
64,8,0,0,0.0004220069386065006,0.0004180711694061756,0.0004281208850443363,300,,35906560,35906560,14148608,,,,,,,,,0.14
64,16,0,0,0.00043191458098590374,0.00042861001566052437,0.0004379771649837494,300,,31712256,31712256,14541824,,,,,,,,,0.14
64,32,0,0,0.0004849843680858612,0.0004734322428703308,0.0004888094030320644,300,,23847936,23847936,15328256,,,,,,,,,0.16
64,64,0,0,0.0007037695031613111,0.0006583118811249733,0.0007058949675410986,300,,33678336,33678336,16901120,,,,,,,,,0.22
64,95,1,0,0.0009615584276616573,0.0009519117884337902,0.0009667520876973868,300,,43590656,43590656,18424832,,,,,,,,,0.31
64,98,1,0,0.0009746644645929337,0.0009521776810288429,0.0009807586669921876,300,,44262400,44262400,18572288,,,,,,,,,0.31
64,128,0,0,0.0011876195203512907,0.0011609671637415886,0.0011901862919330597,300,,53601280,53601280,20046848,,,,,,,,,0.38
64,167,1,0,0.0015256351325660944,0.0014938600361347198,0.0015288783237338067,300,,65741824,65741824,21963776,,,,,,,,,0.48
64,256,0,0,0.002133798087015748,0.002083259169012308,0.002136028418317437,300,,93447168,93447168,26338304,,,,,,,,,0.67
112,1,1,0,0.0003262348473072052,0.00031809741631150246,0.0003418678417801857,300,,14708736,14708736,13905920,,,,,,,,,0.11
112,2,1,0,0.0003736717626452446,0.0003699366934597492,0.0003799605183303356,300,,15662080,15662080,14056448,,,,,,,,,0.12
112,4,1,0,0.0004037295002490282,0.0004006261005997658,0.0004107641987502575,300,,34706432,34706432,14357504,,,,,,,,,0.13
112,8,1,0,0.0004485684912651777,0.00044153910130262375,0.00045251944102346896,300,,21439488,21439488,14959616,,,,,,,,,0.15
112,16,1,0,0.0005937470123171806,0.0005593760870397091,0.0005972411949187517,300,,29008896,29008896,16163840,,,,,,,,,0.19
112,32,1,0,0.0009357272647321224,0.0009077438153326511,0.0009390836581587792,300,,44262400,44262400,18572288,,,,,,,,,0.3
112,64,1,0,0.0016026133671402931,0.0015107877552509308,0.0016063704155385495,300,,75228160,75228160,23847936,,,,,,,,,0.5
112,95,1,0,0.002203015610575676,0.00214074132964015,0.0022061055060476065,300,,104702976,104702976,28435456,,,,,,,,,0.69
112,98,1,0,0.0022483435459434986,0.0022034309804439545,0.002251484664157033,300,,108198912,108198912,28507136,,,,,,,,,0.71
112,128,1,0,0.0029051131568849087,0.002825457602739334,0.002908703498542309,247,,137880576,137880576,33022976,,,,,,,,,0.76
112,167,1,0,0.003835367038846016,0.0038055009208619595,0.0038385781459510326,183,,173138944,173138944,38921216,,,,,,,,,0.76
112,256,1,0,0.005598895251750946,0.005555112846195698,0.005623290967196226,125,,257811456,257811456,52290560,,,,,,,,,0.78
128,1,0,0,0.00032943254336714745,0.0003198869526386261,0.000350326020270586,300,,15000576,15000576,13952000,,,,,,,,,0.11
128,2,0,0,0.00037481868639588356,0.00036911899223923683,0.0003831653855741024,300,,16245760,16245760,14148608,,,,,,,,,0.12
128,4,0,0,0.0004528127610683441,0.0004491899162530899,0.0004603392910212278,300,,28697600,28697600,14541824,,,,,,,,,0.15
128,8,0,0,0.00045518181286752224,0.00043910183012485504,0.0004587600938975811,300,,23847936,23847936,15328256,,,,,,,,,0.15
128,16,0,0,0.0006651938892900944,0.0006186608225107193,0.00066685751080513,300,,33678336,33678336,16901120,,,,,,,,,0.21
128,32,0,0,0.0011390401050448418,0.0011065658181905746,0.0011415967717766761,300,,53601280,53601280,20046848,,,,,,,,,0.36
128,64,0,0,0.0020352094434201717,0.001928701065480709,0.002046961570158601,300,,93447168,93447168,26338304,,,,,,,,,0.64
128,95,1,0,0.0028851181268692017,0.0028436449356377125,0.0028874682262539863,245,,133293056,133293056,32629760,,,,,,,,,0.75
128,98,1,0,0.002947756089270115,0.0028854627162218094,0.002953348262235522,242,,137880576,137880576,33022976,,,,,,,,,0.76
128,128,0,0,0.0038846393581479788,0.003856863360852003,0.0038877211045473814,182,,173138944,173138944,38921216,,,,,,,,,0.76
128,167,1,0,0.004810326034203172,0.004773542284965515,0.004812699276953936,146,,223470592,223470592,47309824,,,,,,,,,0.77
128,256,0,0,0.007169471820816398,0.007153275888413191,0.0071723906788975,98,,332522496,332522496,64087040,,,,,,,,,0.8
